标准岗位,标准城市,技能,出现岗位数,岗位内出现率
大数据开发工程师,西安,Hadoop,16,53.3%
数据分析师,上海,数据建模,16,8.9%
数据分析师,北京,数据仓库,16,8.9%
数据分析师,北京,统计分析,16,8.9%
数据分析师,南京,数据可视化,16,26.7%
数据分析师,深圳,数据可视化,16,14.7%
数据开发工程师,广州,MySQL,16,39.0%
数据开发工程师,西安,SQL,16,59.3%
算法工程师,上海,推荐算法,16,2.4%
Python开发工程师,上海,Docker,15,22.7%
Python开发工程师,上海,FastAPI,15,22.7%
Python开发工程师,上海,PostgreSQL,15,22.7%
Python开发工程师,北京,NumPy,15,16.3%
Python开发工程师,西安,Django,15,33.3%
大数据开发工程师,上海,Flink,15,48.4%
大数据开发工程师,上海,Hive,15,48.4%
大数据开发工程师,上海,Java,15,48.4%
大数据开发工程师,上海,Python,15,48.4%
大数据开发工程师,北京,MySQL,15,28.3%
大数据开发工程师,武汉,Spark,15,75.0%
大数据开发工程师,深圳,Kafka,15,34.9%
大数据开发工程师,西安,Python,15,50.0%
数据分析师,上海,Pandas,15,8.3%
数据分析师,成都,Tableau,15,16.7%
数据分析师,深圳,R,15,13.8%
数据分析师,深圳,数据挖掘,15,13.8%
数据开发工程师,北京,Kafka,15,22.1%
数据开发工程师,广州,Hive,15,36.6%
数据开发工程师,广州,Oracle,15,36.6%
数据开发工程师,成都,Python,15,51.7%
数据开发工程师,武汉,数据仓库,15,45.5%
数据开发工程师,深圳,Java,15,25.9%
数据开发工程师,深圳,数据治理,15,25.9%
算法工程师,上海,RAG,15,2.2%
算法工程师,北京,Hadoop,15,2.7%
算法工程师,北京,Pandas,15,2.7%
算法工程师,北京,Prompt Engineering,15,2.7%
算法工程师,北京,Transformers,15,2.7%
算法工程师,南京,Java,15,6.1%
算法工程师,深圳,RAG,15,2.3%
算法工程师,重庆,MATLAB,15,12.3%
Python开发工程师,上海,Git,14,21.2%
Python开发工程师,北京,Pandas,14,15.2%
Python开发工程师,北京,RAG,14,15.2%
Python开发工程师,广州,MySQL,14,42.4%
Python开发工程师,成都,MySQL,14,43.8%
Python开发工程师,西安,MySQL,14,31.1%
大数据开发工程师,上海,Hadoop,14,45.2%
大数据开发工程师,广州,Scala,14,40.0%
数据分析师,上海,MySQL,14,7.8%
数据分析师,上海,机器学习,14,7.8%
数据分析师,南京,机器学习,14,23.3%
数据分析师,广州,数据挖掘,14,9.9%
数据分析师,成都,统计分析,14,15.6%
数据分析师,杭州,Power BI,14,16.5%
数据开发工程师,上海,数据治理,14,17.1%
数据开发工程师,南京,Python,14,40.0%
数据开发工程师,杭州,ETL,14,40.0%
数据开发工程师,杭州,Python,14,40.0%
算法工程师,上海,Hadoop,14,2.1%
算法工程师,上海,Hive,14,2.1%
算法工程师,上海,Pandas,14,2.1%
算法工程师,北京,Git,14,2.5%
算法工程师,深圳,Docker,14,2.2%
算法工程师,深圳,SQL,14,2.2%
算法工程师,重庆,NLP,14,11.5%
算法工程师,重庆,计算机视觉,14,11.5%
Python开发工程师,北京,MongoDB,13,14.1%
Python开发工程师,广州,SQL,13,39.4%
Python开发工程师,深圳,Docker,13,15.3%
大数据开发工程师,北京,Linux,13,24.5%
大数据开发工程师,广州,MySQL,13,37.1%
大数据开发工程师,广州,数据治理,13,37.1%
大数据开发工程师,武汉,Hadoop,13,65.0%
大数据开发工程师,深圳,ETL,13,30.2%
大数据开发工程师,西安,数据仓库,13,43.3%
数据分析师,北京,Hadoop,13,7.2%
数据分析师,北京,MySQL,13,7.2%
数据分析师,北京,Pandas,13,7.2%
数据分析师,北京,Spark,13,7.2%
数据分析师,南京,Tableau,13,21.7%
数据分析师,成都,Power BI,13,14.4%
数据分析师,成都,数据可视化,13,14.4%
数据分析师,成都,数据建模,13,14.4%
数据分析师,武汉,R,13,19.7%
数据分析师,深圳,数据建模,13,11.9%
数据分析师,深圳,机器学习,13,11.9%
数据开发工程师,上海,Kafka,13,15.9%
数据开发工程师,南京,Oracle,13,37.1%
数据开发工程师,广州,Flink,13,31.7%
数据开发工程师,深圳,MySQL,13,22.4%
机器学习工程师,北京,Python,13,81.2%
算法工程师,北京,Docker,13,2.3%
算法工程师,南京,NumPy,13,5.3%
算法工程师,广州,RAG,13,3.9%
算法工程师,广州,scikit-learn,13,3.9%
算法工程师,成都,RAG,13,5.0%
算法工程师,西安,NLP,13,7.8%
算法工程师,重庆,RAG,13,10.7%
Python开发工程师,北京,C++,12,13.0%
Python开发工程师,北京,深度学习,12,13.0%
Python开发工程师,广州,Java,12,36.4%
